In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
Which of your Lord's marvels can you deny? |[Sura 55:69]
In them are beautiful mates. |[Sura 55:70]
Which of your Lord's marvels can you deny? |[Sura 55:71]
Confined in the tents. |[Sura 55:72]
Which of your Lord's marvels can you deny? |[Sura 55:73]
No human ever touched them, nor a jinn. |[Sura 55:74]
Which of your Lord's marvels can you deny? |[Sura 55:75]
They relax on green carpets, in beautiful surroundings. |[Sura 55:76]
Which of your Lord's marvels can you deny? |[Sura 55:77]
Most exalted is the name of your Lord, Possessor of Majesty and Honor. |[Sura 55:78]
When the inevitable comes to pass. |[Sura 56:1]
Nothing can stop it from happening. |[Sura 56:2]
It will lower some, and raise others. |[Sura 56:3]
The earth will be shaken up. |[Sura 56:4]
The mountains will be wiped out. |[Sura 56:5]
As if they never existed. |[Sura 56:6]
You will be stratified into three kinds. |[Sura 56:7]
Those who deserved bliss will be in bliss. |[Sura 56:8]
Those who deserved misery will be in misery. |[Sura 56:9]
Then there is the elite of the elite. |[Sura 56:10]
They are those who will be closest (to God). |[Sura 56:11]
In the gardens of bliss. |[Sura 56:12]
Many from the first generations. |[Sura 56:13]
Few from the later generations. |[Sura 56:14]
On luxurious furnishings. |[Sura 56:15]
Enjoying everything, they will be neighbors. |[Sura 56:16]
Serving them will be immortal servants. |[Sura 56:17]
With cups, pitchers and pure drinks. |[Sura 56:18]
They never run out, nor do they get bored. |[Sura 56:19]
Fruits of their choice. |[Sura 56:20]
Meat of birds that they desire. |[Sura 56:21]
Beautiful mates. |[Sura 56:22]
Like protected pearls. |[Sura 56:23]
Rewards for their works. |[Sura 56:24]
They never hear any nonsense therein, nor sinful utterances. |[Sura 56:25]
Only the utterance: "Peace, peace." |[Sura 56:26]
Those of the right side, will be on the right side. |[Sura 56:27]
In lush orchards. |[Sura 56:28]
Fragrant fruits. |[Sura 56:29]
Extended shade. |[Sura 56:30]
Abundant water. |[Sura 56:31]
Many fruits. |[Sura 56:32]
Never ending; never forbidden. |[Sura 56:33]
Luxurious furnishings. |[Sura 56:34]
We create for them mates. |[Sura 56:35]
Never previously touched. |[Sura 56:36]
Perfectly matched. |[Sura 56:37]
For those on the right side. |[Sura 56:38]
Many from the early generations. |[Sura 56:39]
Many from the later generations. |[Sura 56:40]
Those of the left, will be on the left. |[Sura 56:41]
In misery and inferno. |[Sura 56:42]
Even their shade is hot. |[Sura 56:43]
Never cool, never tolerable. |[Sura 56:44]
They used to be rich. |[Sura 56:45]
They insisted on the great blasphemy. |[Sura 56:46]
They said, "After we die and turn to dust and bones, we get resurrected? |[Sura 56:47]
"Does this include our forefathers?" |[Sura 56:48]
Say, "The early generations and the later generations. |[Sura 56:49]
"Will be summoned to a meeting on a predetermined day.   |[Sura 56:50]
"Then you, O disbelieving strayers. |[Sura 56:51]
"Will eat from the trees of bitterness. |[Sura 56:52]
"Filling your bellies therefrom. |[Sura 56:53]
"Then drinking on top of it hellish drinks. |[Sura 56:54]
"Then adding drinks of sand." |[Sura 56:55]
Such is their share on the Day of Judgment. |[Sura 56:56]
We have created you, if you could only believe! |[Sura 56:57]
Have you noted the semen that you produce? |[Sura 56:58]
Did you create it, or did we? |[Sura 56:59]
We have predetermined death for you. Nothing can stop us- |[Sura 56:60]
from substituting new generations in your place, and establishing what you do not know. |[Sura 56:61]
You know about the first creation. Do you not remember? |[Sura 56:62]
Have you noted the crops you reap? |[Sura 56:63]
Did you grow them, or did we? |[Sura 56:64]
If we will, we can turn it into hay. Then you will lament: |[Sura 56:65]
"We lost. |[Sura 56:66]
"We are deprived." |[Sura 56:67]
Have you noted the water you drink? |[Sura 56:68]
Did you send it down from the clouds, or did we? |[Sura 56:69]
If we will, we can make it salty. You should be thankful. |[Sura 56:70]
Have you noted the fire you ignite? |[Sura 56:71]
Did you initiate its tree, or did we? |[Sura 56:72]
We rendered it a reminder, and a useful tool for the users. |[Sura 56:73]
You shall glorify the name of your Lord, the Great. |[Sura 56:74]
I swear by the positions of the stars. |[Sura 56:75]
This is an oath, if you only knew, that is awesome.   |[Sura 56:76]
This is an honorable Quran. |[Sura 56:77]
In a protected book. |[Sura 56:78]
None can grasp it except the sincere. |[Sura 56:79]
A revelation from the Lord of the universe. |[Sura 56:80]
Are you disregarding this narration? |[Sura 56:81]
Do you make it your business that you disbelieve? |[Sura 56:82]
When the time comes and it (your soul) reaches your throat- |[Sura 56:83]
you will then look around. |[Sura 56:84]
We are closer to it than you are, but you do not see. |[Sura 56:85]
If it is true that you do not owe any accounting- |[Sura 56:86]
why do you not restore (your soul), if you are truthful? |[Sura 56:87]
If he is one of those close to Me- |[Sura 56:88]
then joy, flowers, and gardens of bliss. |[Sura 56:89]
And if he is one of the right- |[Sura 56:90]
peace is the lot of those on the right. |[Sura 56:91]
But if he is one of the disbelievers, the strayers- |[Sura 56:92]
then an abode of inferno- |[Sura 56:93]
and burning in Hell. |[Sura 56:94]
This is the absolute truth. |[Sura 56:95]
You shall glorify the name of your Lord, the Great. |[Sura 56:96]
Glorifying GOD is everything in the heavens and the earth. He is the Almighty, Most Wise. |[Sura 57:1]
To Him belongs the kingship of the heavens and the earth. He controls life and death. He is Omnipotent. |[Sura 57:2]
He is the Alpha and the Omega. He is the Outermost and the Innermost. He is fully aware of all things. |[Sura 57:3]
He is the One who created the heavens and the earth in six days, then assumed all authority. He knows everything that enters into the earth, and everything that comes out of it, and everything that comes down from the sky, and everything that climbs into it. He is with you wherever you may be. GOD is Seer of everything you do. |[Sura 57:4]
To Him belongs the kingship of the heavens and the earth. All matters are controlled by GOD. |[Sura 57:5]
He merges the night into the day, and merges the day into the night. He is fully aware of the innermost thoughts. |[Sura 57:6]
Believe in GOD and His messenger, and give from what He has bestowed upon you. Those among you who believe and give (to charity) have deserved a great recompense. |[Sura 57:7]
Why should you not believe in GOD when the messenger is inviting you to believe in your Lord? He has taken a pledge from you, if you are believers. |[Sura 57:8]
He is the One who sends down to His servant clear revelations, in order to lead you out of the darkness into the light. GOD is Compassionate towards you, Most Merciful. |[Sura 57:9]
Why do you not spend in the cause of GOD, when GOD possesses all wealth in the heavens and the earth? Special Honor Distinguished from the rest are those among you who spend before the victory and strive. They attain a greater rank than those who spend after the victory and strive. For each, GOD promises salvation. GOD is Cognizant of everything you do. |[Sura 57:10]
Who would like to loan GOD a loan of righteousness, to have it multiplied for him manifold, and end up with a generous recompense?   |[Sura 57:11]
The day will come when you see the believing men and women with their lights radiating ahead of them and to their right. Good news is yours that, on that day, you will have gardens with flowing streams. You will abide therein forever. This is the great triumph. |[Sura 57:12]
On that day, the hypocrite men and women will say to those who believed, "Please allow us to absorb some of your light." It will be said, "Go back behind you, and seek light." A barrier will be set up between them, whose gate separates mercy on the inner side, from retribution on the outer side. |[Sura 57:13]
They will call upon them, "Were we not with you?" They will answer, "Yes, but you cheated your souls, hesitated, doubted, and became misled by wishful thinking, until GOD's judgment came. You were diverted from GOD by illusions. |[Sura 57:14]
"Therefore, today no ransom can be taken from you, nor from those who disbelieved. Your abode is the fire; it is your lord, and miserable abode." |[Sura 57:15]
Is it not time for those who believed to open up their hearts for GOD's message, and the truth that is reveal- ed herein? They should not be like the followers of previous scriptures whose hearts became hardened with time and, consequently, many of them turned wicked. |[Sura 57:16]
Know that GOD revives the land after it had died. We thus explain the revelations for you, that you may understand. |[Sura 57:17]
Surely, the charitable men and women, have loaned GOD a loan of goodness. They will receive their reward multiplied manifold; they have deserved a generous recompense. |[Sura 57:18]
Those who believed in GOD and His messengers are the saints and martyrs. Reserved for them at their Lord are their rewards and their light. As for those who disbelieved and rejected our revelations, they have incurred Hell. |[Sura 57:19]
Know that this worldly life is no more than play and games, and boasting among you, and hoarding of money and children. It is like abundant rain that produces plants and pleases the disbelievers. But then the plants turn into useless hay, and are blown away by the wind. In the Hereafter there is either severe retribution, or forgiveness from GOD and approval. This worldly life is no more than a temporary illusion. |[Sura 57:20]
Therefore, you shall race towards forgiveness from your Lord, and a Paradise whose width encom- passes the heaven and the earth. It awaits those who believed in GOD and His messengers. Such is GOD's grace that He bestows upon whom- ever He wills. GOD is Possessor of Infinite Grace. |[Sura 57:21]
Anything that happens on earth, or to you, has already been recorded, even before the creation. This is easy for GOD to do. |[Sura 57:22]
